"Dis No","Year","Seq","Glide","Disaster Group","Disaster Subgroup","Disaster Type","Disaster Subtype","Disaster Subsubtype","Event Name","Country","ISO","Region","Continent","Location","Origin","Associated Dis","Associated Dis2","OFDA Response","Appeal","Declaration","AID Contribution (000 US$)","Dis Mag Value","Dis Mag Scale","Latitude","Longitude","Local Time","River Basin","Start Year","Start Month","Start Day","End Year","End Month","End Day","Total Deaths","No Injured","No Affected","No Homeless","Total Affected","Reconstruction Costs ('000 US$)","Reconstruction Costs, Adjusted ('000 US$)","Insured Damages ('000 US$)","Insured Damages, Adjusted ('000 US$)","Total Damages ('000 US$)","Total Damages, Adjusted ('000 US$)","CPI","Adm Level","Admin1 Code","Admin2 Code","Geo Locations"
"2000-0019-BRA","2000","0019","","Natural","Hydrological","Flood","Riverine flood","","","Brazil","BRA","South America","Americas","Rio de Janeiro city (Rio de Janeiro district, Rio de Janeiro province), Sao Paulo city (Sao Paulo district, Sao Paulo province), Campos de Jordao city (Campos de Jordao district, Sao Paulo province). Volta Redonda district (Rio de Janeiro province), Barra Mansa district (Rio de Janeiro province), Resende district (Rio de Janeiro province), Pirangucu district (Minas Gerais province), Santa Rita do Sapucai district (Minas Gerais province). ","Heavy rains","Slide (land, mud, snow, rock)","","","","Yes","","350000","Km2","","","","Paraiba, Tiete, Maracana, Rio Verde","2000","1","1","2000","1","6","26","","","70000","70000","","","","","","","58.84064849175","2","","8467;8555;9902;9956;9961;9985;11089;11543","Barra Mansa, Campos Do Jordao, Pirangucu, Resende, Rio De Janeiro, Santa Rita Do Sapucai, Sao Paulo, Volta Redonda (Adm2). "
"2000-0809-BRA","2000","0809","","Natural","Hydrological","Flood","Riverine flood","","","Brazil","BRA","South America","Americas","Belo Horizonte district (Minas Gerais province), Santos, Guaruja districts (Sao Paulo province), Santa Leopoldina district (Espirito Santo province), Alto Feliz district (Rio Grande do Sul province)","Heavy rains","Slide (land, mud, snow, rock)","","","","","","578300","Km2","","","","","2000","12","17","2000","12","26","13","","2000","","2000","","","","","","","58.84064849175","2","","7192;7936;10160;11192;11523","Alto Feliz, Belo Horizonte, Guaruja, Santa Leopoldina, Santos (Adm2). "
"2000-0590-BRA","2000","0590","","Natural","Hydrological","Flood","Riverine flood","","","Brazil","BRA","South America","Americas","Recife city (Recife district, Pernambuco province), Jaboatao Dos Guararapes, Moreno districts (Pernambuco province)","Heavy rain","","","","","","","3000","Km2","","","","","2000","9","16","2000","9","18","3","","10000","","10000","","","","","","","58.84064849175","2","","9576;9598;9621","Jaboatao Dos Guararapes, Moreno, Recife (Adm2). "
"2000-0666-BRA","2000","0666","","Natural","Hydrological","Flood","Riverine flood","","","Brazil","BRA","South America","Americas","Rio Grande Do Sul province","Heavy rain","","","","","","","10250","Km2","","","","","2000","10","12","2000","10","15","6","","5000","","5000","","","","","","","58.84064849175","1","685","","Rio Grande Do Sul (Adm1). "
"2000-0456-BRA","2000","0456","","Natural","Meteorological","Extreme temperature ","Cold wave","","","Brazil","BRA","South America","Americas","Porto Alegre district (Rio Grande Do Sul province)","","","","","","","","-5","°C","","","","","2000","7","","2000","7","","7","","","","","","","","","","","58.84064849175","2","","10455","Porto Alegre (Adm2). "
"2000-0004-BRA","2000","0004","","Technological","Technological","Transport accident","Road","","","Brazil","BRA","South America","Americas","Pouso Redondo (Etat de Santa Catarina)","","","","","","","","","","","","","","2000","1","12","2000","1","12","42","71","","","71","","","","","","","58.84064849175","","","",""
"2000-0177-BRA","2000","0177","","Technological","Technological","Transport accident","Road","","","Brazil","BRA","South America","Americas","Miracatu (Sao Paulo state)","","","","","","","","","","","","","","2000","4","3","2000","4","3","17","","","","","","","","","","","58.84064849175","","","",""
"2000-0646-BRA","2000","0646","","Technological","Technological","Transport accident","Road","","","Brazil","BRA","South America","Americas","Tabosa region","","","","","","","","","","","","","","2000","10","3","2000","10","3","11","35","","","35","","","","","","","58.84064849175","","","",""
"2000-0802-BRA","2000","0802","","Technological","Technological","Transport accident","Road","","","Brazil","BRA","South America","Americas","Minas Gerais state","","","","","","","","","","","","","","2000","12","17","2000","12","17","10","19","","","19","","","","","","","58.84064849175","","","",""
"2000-0808-BRA","2000","0808","","Technological","Technological","Transport accident","Road","","","Brazil","BRA","South America","Americas","Near Recife","","","","","No","No","","","","","","","","2000","12","19","2000","12","19","14","2","","","2","","","","","","","58.84064849175","","","",""
